url,title,source,disposition
/d/10008-por-que-no-deberias-masturbarte-razones-cientificas,Por qué no deberías masturbarte [RAZONES CIENTÍFICAS],looksmax.org,CONSOLIDATE
/d/10018-la-inclinacion-pelvica-esta-arruinando-tu-estetica-aqui-te-digo-como-arreglarla,LA INCLINACIÓN PÉLVICA ESTÁ ARRUINANDO TU ESTÉTICA. AQUÍ TE DIGO CÓMO ARREGLARLA.,looksmax.org,REWRITE
/d/10036-como-tener-una-mandibula-de-chad-en-4-meses-y-pasar-de-310-710,Cómo tener una mandíbula de chad en 4 meses y pasar de 3/10 -> 7/10,looksmax.org,REWRITE
/d/10048-un-serum-de-vitamina-c-que-es-mejor-que-el-ce-ferulic-de-skinceuticals,Un Sérum de Vitamina C que es MEJOR que el CE Ferulic de SkinCeuticals,looksmax.org,REWRITE
/d/10064-mi-guia-de-vello-facial,MI GUÍA DE VELLO FACIAL,looksmax.org,REWRITE
/d/10078-looksmaxea-ya-o-cuelga-la-soga-guia-suicida-para-curries,LOOKSMAXEA YA O CUELGA LA SOGA: GUÍA SUICIDA PARA CURRIES,looksmax.org,REMOVE_URGENT
/d/10084-acabando-con-el-cope-de-la-mandibula-de-una-vez-por-todas,Acabando con el cope de la mandíbula de una vez por todas,looksmax.org,REWRITE
/d/1010-guia-de-ensanchamiento-bucal,Guía de ensanchamiento bucal,looksmax.org,REWRITE
/d/10100-guia-esencial-de-coolguymaxxing-nerds-venganse-para-aca,Guía Esencial de CoolGuyMaxxing ( Nerds Vénganse Para Acá ),looksmax.org,REWRITE
/d/10106-la-depresion-no-es-un-desequilibrio-en-la-quimica-del-cerebro-sino-un-desequilibrio-en-tu-microbiota-intestinal-y-como-arreglarlo,La depresión no es un desequilibrio en la química del cerebro; sino un desequilibrio en tu microbiota intestinal (y cómo arreglarlo),looksmax.org,REMOVE_URGENT
/d/10107-checklist-de-vida-social-basica-para-slayers,Checklist de vida social básica para slayers,looksmax.org,REWRITE
/d/10142-guia-para-que-los-blancos-envejezcan-como-un-asiatico,guía para que los blancos envejezcan como un asiático,looksmax.org,REMOVE_URGENT
/d/10148-tienes-demasiado-dinero-y-quieres-statusmaxxear-prmaxxing,¿Tienes demasiado dinero y quieres statusmaxxear? (PRMaxxing),looksmax.org,REWRITE
/d/10152-como-medir-la-altura-desmontando-a-los-fraudulentos-de-altura,CÓMO MEDIR LA ALTURA (DESMONTANDO A LOS FRAUDULENTOS DE ALTURA),looksmax.org,REWRITE
/d/10160-autistas-del-coloridosubtonos-venganse-para-aca-cuales-de-los-siguientes-coloridossubtonos-conviene-tener,AUTISTAS DEL COLORIDO/SUBTONOS VÉNGANSE PARA ACÁ: ¿Cuáles de los siguientes coloridos/subtonos conviene tener?,looksmax.org,REWRITE
/d/10191-estableci-un-nuevo-ratio-y-medidas-para-pulir-remodelar-y-mejorar-dramaticamente-las-cejas-en-hombres-mi-analisis,Establecí un nuevo ratio y medidas para pulir; remodelar y mejorar dramáticamente las cejas en hombres (mi análisis),looksmax.org,REWRITE
/d/10229-crea-el-tuyo-edicion-champu,Crea el tuyo (edición champú),looksmax.org,REWRITE
/d/10231-mejora-tu-desempeno-y-humor-con-sustancias-naturales-gtfih,Mejora tu DESEMPEÑO y HUMOR con sustancias naturales | (GTFIH),looksmax.org,REWRITE
/d/10232-lo-que-aprendi-despues-de-anos-de-looksmaxxing,LO QUE APRENDÍ DESPUÉS DE AÑOS DE LOOKSMAXXING,looksmax.org,REWRITE
/d/10240-la-escala-de-atractivo-con-fotos,La escala de atractivo; con fotos,looksmax.org,REWRITE
/d/10259-como-no-joder-tu-cuerpo-con-vitaminassupps-retard,Cómo no joder tu cuerpo con vitaminas/supps (retard),looksmax.org,REWRITE
/d/10262-mi-dieta-realista-de-mogger-cero-carbos-y-azucar,Mi dieta realista de mogger; cero carbos y azúcar.,looksmax.org,REMOVE_URGENT
/d/10281-lo-que-he-aprendido-sobre-la-respiracion-correcta-en-los-ultimos-anos-guia-definitiva,Lo que he aprendido sobre la Respiración Correcta en los últimos años (GUÍA DEFINITIVA),looksmax.org,REWRITE
/d/10289-guia-de-piel-limpia-cabello-magnifico-version-corta,Guía de piel limpia + cabello magnífico (versión corta),looksmax.org,REMOVE_URGENT
/d/10291-guia-definitiva-para-dientes-blancos-sin-ningun-efecto-secundario-gtfih-dientes-amarillos-cels,Guía definitiva para dientes blancos sin ningún efecto secundario (GTFIH dientes-amarillos-cels),looksmax.org,REWRITE
/d/10292-guia-de-ntmaxxing-para-ustedes-autistas,Guía de NTmaxxing para ustedes autistas,looksmax.org,REWRITE
/d/10293-guia-el-peinado-correcto-segun-tu-norwood,GUÍA- el peinado correcto según tu NORWOOD.,looksmax.org,REWRITE
/d/10294-sabe-que-tan-unatractivo-eres-pasos,SABE QUÉ TAN (UN)ATRACTIVO ERES + pasos,looksmax.org,REWRITE
/d/10326-mi-ultimo-y-definitivo-plan-para-cambiar-mi-cara-atractivo-belleza-salud-etc,Mi último y definitivo plan para cambiar mi cara (atractivo; belleza; salud; etc...),looksmax.org,REWRITE
/d/10343-no-desperdicies-tu-prime,No desperdicies tu prime,looksmax.org,REWRITE
/d/10353-guia-de-softmaxx-para-principiantes,Guía de Softmaxx para Principiantes,looksmax.org,REWRITE
/d/10397-las-cejas-son-mas-importantes-de-lo-que-se-cree-tanto-para-el-atractivo-facial-como-para-la-comunicacion-no-verbal,Las cejas son más importantes de lo que se cree; tanto para el atractivo facial como para la comunicación no verbal,looksmax.org,REWRITE
/d/10402-guia-definitiva-sobre-machiavellianmaxxing,Guía definitiva sobre Machiavellianmaxxing,looksmax.org,REWRITE
/d/10419-guia-de-psychopathmaxxxing,Guía de PsychopathMaxxxing,looksmax.org,REWRITE
/d/10431-guia-de-confidencemaxxxing-la-confianza-se-gana-no-se-finge,Guía de ConfidenceMaxxxing: La Confianza se GANA; no se FINGE,looksmax.org,REWRITE
/d/10434-nutricion-optima-para-un-looksmaxxer-la-mayoria-de-los-consejos-de-nutricion-aqui-son-basura-sera-demasiado-high-iq-para-la-mayoria-de-ustedes,Nutrición óptima para un Looksmaxxer. (la mayoría de los consejos de nutrición aquí son basura; SERÁ DEMASIADO HIGH IQ PARA LA MAYORÍA DE USTEDES),looksmax.org,REMOVE_URGENT
/d/1044-guia-la-solucion-a-la-caida-del-cabello-para-cualquiera-que-este-perdiendo-su-cabello,Guía: La solución a la caída del cabello - Para cualquiera que esté perdiendo su cabello,looksmax.org,REWRITE
/d/10461-test-definitivo-para-saber-si-estas-feo,Test definitivo para saber si estás feo,looksmax.org,REWRITE
/d/10486-la-disminucion-del-atractivo-a-medida-que-envejecemos-es-causada-en-parte-por-la-perdida-y-debilidad-osea-facial,La Disminución del Atractivo a Medida que Envejecemos Es Causada en Parte por la Pérdida y Debilidad Ósea Facial,looksmax.org,REMOVE_URGENT
/d/10487-como-tus-huesos-cambiaran-con-el-ejercicio-y-las-tecnicas-de-empuje-traccion-sobre-los-huesos-de-tu-cara-gtfih,Cómo tus huesos cambiarán con el ejercicio y las técnicas de empuje-tracción sobre los huesos de tu cara (GTFIH),looksmax.org,REWRITE
/d/10508-cuando-dejar-de-leanmaxxing-sin-matematicas,Cuándo dejar de leanmaxxing (sin matemáticas),looksmax.org,REWRITE
