url,title,section,ymyl_flags,reason,destination_301,total_hits
/d/10078-looksmaxea-ya-o-cuelga-la-soga-guia-suicida-para-curries,"LOOKSMAXEA YA O CUELGA LA SOGA: GUÍA SUICIDA PARA CURRIES",looksmaxing,dosing/PED,4.5-sourcing,/t/looksmaxing,9
/d/10106-la-depresion-no-es-un-desequilibrio-en-la-quimica-del-cerebro-sino-un-desequilibrio-en-tu-microbiota-intestinal-y-como-arreglarlo,"La depresión no es un desequilibrio en la química del cerebro  sino un desequilibrio en tu microbiota intestinal (y cómo arreglarlo)",looksmaxing,dosing/PED,4.5-sourcing,/t/looksmaxing,9
/d/10142-guia-para-que-los-blancos-envejezcan-como-un-asiatico,"guía para que los blancos envejezcan como un asiático",softmaxing,sourcing,4.5-sourcing,/t/softmaxing,10
/d/10262-mi-dieta-realista-de-mogger-cero-carbos-y-azucar,"Mi dieta realista de mogger  cero carbos y azúcar.",looksmaxing,sourcing,4.5-sourcing,/t/looksmaxing,6
/d/10434-nutricion-optima-para-un-looksmaxxer-la-mayoria-de-los-consejos-de-nutricion-aqui-son-basura-sera-demasiado-high-iq-para-la-mayoria-de-ustedes,"Nutrición óptima para un Looksmaxxer. (la mayoría de los consejos de nutrición aquí son basura; SERÁ DEMASIADO HIGH IQ PARA LA MAYORÍA DE USTEDES)",looksmaxing,sourcing,4.5-sourcing,/t/looksmaxing,9
/d/10486-la-disminucion-del-atractivo-a-medida-que-envejecemos-es-causada-en-parte-por-la-perdida-y-debilidad-osea-facial,"La Disminución del Atractivo a Medida que Envejecemos Es Causada en Parte por la Pérdida y Debilidad Ósea Facial",looksmaxing,sourcing,4.5-sourcing,/t/looksmaxing,6
/d/10515-el-gran-reinicio-de-dopamina-como-recuperar-el-control-de-tu-vida,"😱😱😱 El Gran Reinicio de Dopamina 😱😱😱 - Cómo recuperar el control de tu vida 🚀",looksmaxing,sourcing,4.5-sourcing,/t/looksmaxing,6
/d/10595-guia-de-como-hacer-que-tu-novia-nunca-te-deje-aunque-chad-la-quiera,"Guía De Cómo Hacer Que Tu Novia Nunca Te Deje (Aunque Chad La Quiera)",looksmaxing,sourcing,4.5-sourcing,/t/looksmaxing,9
/d/1068-como-frenar-y-revertir-el-proceso-de-envejecimiento,"Cómo frenar (y revertir) el proceso de envejecimiento",softmaxing,sourcing,4.5-sourcing,/t/softmaxing,9
/d/10691-guia-definitiva-para-hacer-framemaxxing-botb-pls,"guía definitiva para hacer framemaxxing botb pls",looksmaxing,dosing/PED,4.5-sourcing,/t/looksmaxing,6
/d/1106-el-ciclo-de-randle-posible-respuesta-a-problemas-hormonales-problemas-de-piel-problemas-de-animo,"El Ciclo de Randle - Posible respuesta a Problemas Hormonales  Problemas de Piel  Problemas de Ánimo  ...",looksmaxing,dosing/PED,4.5-sourcing,/t/looksmaxing,9
/d/11200-como-ascender-siendo-adolescente-de-3-psl-a-6-psl-gtfih-todos,"Cómo ascender siendo adolescente de 3 psl a 6 psl. GTFIH todos.",looksmaxing,sourcing,4.5-sourcing,/t/looksmaxing,6
/d/11274-guia-de-leanmaxing-sin-esfuerzo,"Guía de leanmaxing sin esfuerzo",looksmaxing,disordered-eating,4.5-safety,/t/looksmaxing,6
/d/1131-como-construir-hueso-facial-guia-sobre-el-crecimiento-craneofacial-hacia-adelante-y-la-remodelacion-osea-mi-hipotesis,"Cómo construir hueso facial  guía sobre el crecimiento craneofacial hacia adelante y la remodelación ósea. Mi hipótesis.",hardmaxing,dosing/PED,4.5-sourcing,/t/hardmaxing,25
/d/11405-formula-herbal-asiatica-secreta-ht042-para-heightmaxxing,"Fórmula Herbal Asiática Secreta HT042 para Heightmaxxing",peptides,dosing/PED,4.5-sourcing,/t/peptides,11
/d/11502-solucion-real-para-la-testosterona-baja-y-otros-problemas-de-salud,"Solución real para la testosterona baja (y otros problemas de salud)",anabolicos,dosing/PED,4.5-sourcing,/t/anabolicos,24
/d/11583-los-9-tiers-de-ipd-masculino-basados-en-estadisticas,"Los 9 tiers de IPD masculino ( basados en estadísticas )",looksmaxing,sourcing,4.5-sourcing,/t/looksmaxing,9
/d/11694-la-tretinoina-funciona,"La Tretinoína FUNCIONA",softmaxing,dosing/PED,4.5-sourcing,/t/softmaxing,11
/d/11795-como-no-ser-un-tonto-tamanos-de-pene,"Cómo no ser un tonto. Tamaños de pene",looksmaxing,sourcing,4.5-sourcing,/t/looksmaxing,6
/d/1185-como-hacer-un-aparato-face-puller-para-el-face-puller-o-face-bow-de-at-copeandrope,"Cómo hacer un aparato Face Puller para el Face Puller o Face Bow de @CopeAndRope",hardmaxing,sourcing,4.5-sourcing,/t/hardmaxing,9
/d/11930-explicando-la-importancia-del-amor-en-la-adolescencia-copecels-no-hagan-clic,"Explicando la Importancia del Amor en la Adolescencia (Copecels no hagan clic)",looksmaxing,self-harm/hopelessness,4.5-safety,/t/looksmaxing,10
/d/12117-maximizar-hgh-natural-de-verdad-la-unica-mejor-forma-de-hacerlo,"Maximizar HGH natural de verdad. La única mejor forma de hacerlo",anabolicos,dosing/PED,4.5-sourcing,/t/anabolicos,7
/d/12498-como-evitar-los-xenoestrogenos,"¿Cómo evitar los xenoestrógenos?",looksmaxing,sourcing,4.5-sourcing,/t/looksmaxing,3
/d/1272-la-guia-definitiva-de-fragancias-y-feromonas,"La Guía Definitiva de Fragancias y Feromonas",softmaxing,sourcing,4.5-sourcing,/t/softmaxing,9
/d/12993-guia-roidmaxx-manten-tu-cabello,"GUÍA ROIDMAXX MANTÉN TU CABELLO",anabolicos,dosing/PED,4.5-sourcing,/t/anabolicos,6
