url,old_status,action,destination,timestamp,reason_code
/d/334-higiene-corporal-como-ducharte-bien-sin-resecarte-la-piel,translated-live,REWRITE-published,/d/334-higiene-corporal-como-ducharte-bien-sin-resecarte-la-piel,2026-08-24T23:16:03+00:00,4.7-original-replacement
/d/350-area-de-los-ojos-ojeras-y-bolsas-que-funciona-y-que-no,translated-live,REWRITE-published,/d/350-area-de-los-ojos-ojeras-y-bolsas-que-funciona-y-que-no,2026-08-24T23:16:03+00:00,4.7-original-replacement
/d/18298-dormir-mejor-la-guia-que-si-mueve-la-aguja,translated-live,REWRITE-published,/d/18298-dormir-mejor-la-guia-que-si-mueve-la-aguja,2026-08-24T23:16:03+00:00,4.7-original-replacement
/d/900-rutina-de-cuidado-de-piel-lo-minimo-que-de-verdad-funciona,translated-live,REWRITE-published,/d/900-rutina-de-cuidado-de-piel-lo-minimo-que-de-verdad-funciona,2026-08-24T23:16:03+00:00,4.7-original-replacement
/d/17221-postura-como-corregirla-de-verdad,translated-live,REWRITE-published,/d/17221-postura-como-corregirla-de-verdad,2026-08-24T23:16:03+00:00,4.7-original-replacement
/d/33106-cejas-como-mejorarlas-sin-arruinarlas,translated-live,REWRITE-published,/d/33106-cejas-como-mejorarlas-sin-arruinarlas,2026-08-24T23:16:03+00:00,4.7-original-replacement
/d/17963-neckmaxxing-cuello-mas-definido-con-expectativas-reales,translated-live,REWRITE-published,/d/17963-neckmaxxing-cuello-mas-definido-con-expectativas-reales,2026-08-24T23:16:03+00:00,4.7-original-replacement
/d/10078-looksmaxea-ya-o-cuelga-la-soga-guia-suicida-para-curries,live-guide,REMOVE_URGENT-hidden,/t/looksmaxing,2026-08-24T23:30:00Z,4.5-sourcing
/d/10106-la-depresion-no-es-un-desequilibrio-en-la-quimica-del-cerebro-sino-un-desequilibrio-en-tu-microbiota-intestinal-y-como-arreglarlo,live-guide,REMOVE_URGENT-hidden,/t/looksmaxing,2026-08-24T23:30:00Z,4.5-sourcing
/d/10142-guia-para-que-los-blancos-envejezcan-como-un-asiatico,live-guide,REMOVE_URGENT-hidden,/t/softmaxing,2026-08-24T23:30:00Z,4.5-sourcing
/d/10262-mi-dieta-realista-de-mogger-cero-carbos-y-azucar,live-guide,REMOVE_URGENT-hidden,/t/looksmaxing,2026-08-24T23:30:00Z,4.5-sourcing
/d/10434-nutricion-optima-para-un-looksmaxxer-la-mayoria-de-los-consejos-de-nutricion-aqui-son-basura-sera-demasiado-high-iq-para-la-mayoria-de-ustedes,live-guide,REMOVE_URGENT-hidden,/t/looksmaxing,2026-08-24T23:30:00Z,4.5-sourcing
/d/10486-la-disminucion-del-atractivo-a-medida-que-envejecemos-es-causada-en-parte-por-la-perdida-y-debilidad-osea-facial,live-guide,REMOVE_URGENT-hidden,/t/looksmaxing,2026-08-24T23:30:00Z,4.5-sourcing
/d/10515-el-gran-reinicio-de-dopamina-como-recuperar-el-control-de-tu-vida,live-guide,REMOVE_URGENT-hidden,/t/looksmaxing,2026-08-24T23:30:00Z,4.5-sourcing
/d/10595-guia-de-como-hacer-que-tu-novia-nunca-te-deje-aunque-chad-la-quiera,live-guide,REMOVE_URGENT-hidden,/t/looksmaxing,2026-08-24T23:30:00Z,4.5-sourcing
/d/1068-como-frenar-y-revertir-el-proceso-de-envejecimiento,live-guide,REMOVE_URGENT-hidden,/t/softmaxing,2026-08-24T23:30:00Z,4.5-sourcing
/d/10691-guia-definitiva-para-hacer-framemaxxing-botb-pls,live-guide,REMOVE_URGENT-hidden,/t/looksmaxing,2026-08-24T23:30:00Z,4.5-sourcing
/d/1106-el-ciclo-de-randle-posible-respuesta-a-problemas-hormonales-problemas-de-piel-problemas-de-animo,live-guide,REMOVE_URGENT-hidden,/t/looksmaxing,2026-08-24T23:30:00Z,4.5-sourcing
/d/11200-como-ascender-siendo-adolescente-de-3-psl-a-6-psl-gtfih-todos,live-guide,REMOVE_URGENT-hidden,/t/looksmaxing,2026-08-24T23:30:00Z,4.5-sourcing
/d/11274-guia-de-leanmaxing-sin-esfuerzo,live-guide,REMOVE_URGENT-hidden,/t/looksmaxing,2026-08-24T23:30:00Z,4.5-safety
